,abstract
0,"Compressive Sensing (CS) theory asserts that sparse signal reconstruction is
possible from a small number of linear measurements. Although CS enables
low-cost linear sampling, it requires non-linear and costly reconstruction.
Recent literature works show that compressive image classification is possible
in CS domain without reconstruction of the signal. In this work, we introduce a
DCT base method that extracts binary discriminative features directly from CS
measurements. These CS measurements can be obtained by using (i) a random or a
pseudo-random measurement matrix, or (ii) a measurement matrix whose elements
are learned from the training data to optimize the given classification task.
We further introduce feature fusion by concatenating Bag of Words (BoW)
representation of our binary features with one of the two state-of-the-art
CNN-based feature vectors. We show that our fused feature outperforms the
state-of-the-art in both cases.Comment: 6 pages, submitted/accepted, EUVIP 201"
1,"Convolutional Neural Network(CNN) has been widely used for image recognition
with great success. However, there are a number of limitations of the current
CNN based image recognition paradigm. First, the receptive field of CNN is
generally fixed, which limits its recognition capacity when the input image is
very large. Second, it lacks the computational scalability for dealing with
images with different sizes. Third, it is quite different from human visual
system for image recognition, which involves both feadforward and recurrent
proprocessing. This paper proposes a different paradigm of image recognition,
which can take advantages of variable scales of the input images, has more
computational scalabilities, and is more similar to image recognition by human
visual system. It is based on recurrent neural network (RNN) defined on image
scale with an embeded base CNN, which is named Scale Recurrent Neural
Network(SRNN). This RNN based approach makes it easier to deal with images with
variable sizes, and allows us to borrow existing RNN techniques, such as LSTM
and GRU, to further enhance the recognition accuracy. Our experiments show that
the recognition accuracy of a base CNN can be significantly boosted using the
proposed SRNN models. It also significantly outperforms the scale ensemble
method, which integrate the results of performing CNN to the input image at
different scales, although the computational overhead of using SRNN is
negligible"
2,"This paper presents an integration of image forgery detection with image
facial recognition using black propagation neural network (BPNN). We observed
that facial image recognition by itself will always give a matching output or
closest possible output image for every input image irrespective of the
authenticity or otherwise not of the testing input image. Based on this, we are
proposing the combination of the blind but powerful automation image forgery
detection for entire input images for the BPNN recognition program. Hence, an
input image must first be authenticated before being fed into the recognition
program. Thus, an image security identification and authentication requirement,
any image that fails the authentication/verification stage are not to be used
as an input/test image. In addition, the universal smart GUI tool is proposed
and designed to perform image forgery detection with the high accuracy of 2%
error rate.Comment: Circuit and Systems (CAS) Conference. Pp.120-125. ISBN:
  978-1-4673-311"
3,"Traditional image recognition involves identifying the key object in a
portrait-type image with a single object focus (ILSVRC, AlexNet, and VGG). More
recent approaches consider dense image recognition - segmenting an image with
appropriate bounding boxes and performing image recognition within these
bounding boxes (Semantic segmentation). The Visual Genome dataset [5] is an
attempt to bridge these various approaches to a cohesive dataset for each
subtask - bounding box generation, image recognition, captioning, and a new
operation: scene graph generation. Our focus is on using such scene graphs to
perform graph search on image databases to holistically retrieve images based
on a search criteria. We develop a method to store scene graphs and metadata in
graph databases (using Neo4J) and to perform fast approximate retrieval of
images based on a graph search query. We process more complex queries than
single object search, e.g. ""girl eating cake"" retrieves images that contain the
specified relation as well as variations"
4,"Any subset of the plane can be approximated by a set of square pixels. This
transition from a shape to its pixelation is rather brutal since it destroys
geometric and topological information about the shape. Using a technique
inspired by Morse Theory, we algorithmically produce a PL approximation of the
original shape using only information from its pixelation. This approximation
converges to the original shape in a very strong sense: as the size of the
pixels goes to zero we can recover important geometric and topological
invariants of the original shape such as Betti numbers, area, perimeter and
curvature measures"
5,"Place recognition is one of the most fundamental topics in computer vision
and robotics communities, where the task is to accurately and efficiently
recognize the location of a given query image. Despite years of wisdom
accumulated in this field, place recognition still remains an open problem due
to the various ways in which the appearance of real-world places may differ.
This paper presents an overview of the place recognition literature. Since
condition invariant and viewpoint invariant features are essential factors to
long-term robust visual place recognition system, We start with traditional
image description methodology developed in the past, which exploit techniques
from image retrieval field. Recently, the rapid advances of related fields such
as object detection and image classification have inspired a new technique to
improve visual place recognition system, i.e., convolutional neural networks
(CNNs). Thus we then introduce recent progress of visual place recognition
system based on CNNs to automatically learn better image representations for
places. Eventually, we close with discussions and future work of place
recognition.Comment: Applied Sciences (2018"
6,"Document image has been the area of research for a couple of decades because
of its potential application in the area of text recognition, line recognition
or any other shape recognition from the image. For most of these purposes
binarization of image becomes mandatory as far as recognition is concerned.
Throughout couple decades standard algorithms have already been developed for
this purpose. Some of these algorithms are applicable to degraded image also.
Our objective behind this work is to study the existing techniques, compare
them in view of advantages and disadvantages and modify some of these
algorithms to optimize time or performance.Comment: National Conference on Computing and Communication Systems
  (COCOSYS-09), UIT, Burdwan, January 02-04, 2009, pp. 71-7"
7,"Visual recognition under adverse conditions is a very important and
challenging problem of high practical value, due to the ubiquitous existence of
quality distortions during image acquisition, transmission, or storage. While
deep neural networks have been extensively exploited in the techniques of
low-quality image restoration and high-quality image recognition tasks
respectively, few studies have been done on the important problem of
recognition from very low-quality images. This paper proposes a deep learning
based framework for improving the performance of image and video recognition
models under adverse conditions, using robust adverse pre-training or its
aggressive variant. The robust adverse pre-training algorithms leverage the
power of pre-training and generalizes conventional unsupervised pre-training
and data augmentation methods. We further develop a transfer learning approach
to cope with real-world datasets of unknown adverse conditions. The proposed
framework is comprehensively evaluated on a number of image and video
recognition benchmarks, and obtains significant performance improvements under
various single or mixed adverse conditions. Our visualization and analysis
further add to the explainability of results"
8,"Recognition of low resolution face images is a challenging problem in many
practical face recognition systems. Methods have been proposed in the face
recognition literature for the problem which assume that the probe is low
resolution, but a high resolution gallery is available for recognition. These
attempts have been aimed at modifying the probe image such that the resultant
image provides better discrimination. We formulate the problem differently by
leveraging the information available in the high resolution gallery image and
propose a dictionary learning approach for classifying the low-resolution probe
image. An important feature of our algorithm is that it can handle resolution
change along with illumination variations. Furthermore, we also kernelize the
algorithm to handle non-linearity in data and present a joint dictionary
learning technique for robust recognition at low resolutions. The effectiveness
of the proposed method is demonstrated using standard datasets and a
challenging outdoor face dataset. It is shown that our method is efficient and
can perform significantly better than many competitive low resolution face
recognition algorithms"
9,"We present an experimental study to demonstrate the effect of the time difference in image acquisition for gallery and probe on the performance of ear recognition. This experimental research is the first study on the time effect on ear biometrics. For the purpose of recognition, we convolve banana wavelets with an ear image and then apply local binary pattern on the convolved image. The histograms of the produced image are then used as features to describe an ear. A histogram intersection technique is then applied on the histograms of two ears to measure the ear similarity for the recognition purposes. We also use analysis of variance (ANOVA) to select features to identify the best banana wavelets for the recognition process. The experimental results show that the recognition rate is only slightly reduced by time. The average recognition rate of 98.5% is achieved for an eleven month-difference between gallery and probe on an un-occluded ear dataset of 1491 images of ears selected from Southampton University ear database"
10,"Attendance Management System (AMS) can be made into smarter way by using face
recognition technique, where we use a CCTV camera to be fixed at the entry
point of a classroom, which automatically captures the image of the person and
checks the observed image with the face database using android enhanced smart
phone. It is typically used for two purposes. Firstly, marking attendance for
student by comparing the face images produced recently and secondly,
recognition of human who are strange to the environment i.e. an unauthorized
person For verification of image, a newly emerging trend 3D Face Recognition is
used which claims to provide more accuracy in matching the image databases and
has an ability to recognize a subject at different view angles.Comment: 20 pages,4 figure"
11,"State recognition of food images can be considered as one of the promising
applications of object recognition and fine-grained image classification in
computer vision. In this paper, evidence is provided for the power of
convolutional neural network (CNN) for food state recognition, even with a
small data set. In this study, we fine-tuned a CNN initially trained on a large
natural image recognition dataset (Imagenet ILSVRC) and transferred the learned
feature representations to the food state recognition task. A small-scale
dataset consisting of 5978 images of seven categories was constructed and
annotated manually. Data augmentation was applied to increase the size of the
data.Comment: 5 pages, 7 figure"
12,"In order to perform object recognition it is necessary to learn representations of the underlying components of images.  Such components correspond to objects, object-parts, or features.  Non-negative matrix factorisation is a generative model that has been specifically proposed for finding such meaningful representations of image data, through the use of non-negativity constraints on the factors.  This article reports on an empirical investigation of the performance of non-negative matrix factorisation algorithms. It is found that such algorithms need to impose additional constraints on the sparseness of the factors in order to successfully deal with occlusion. However, these constraints can themselves result in these algorithms failing to identify image components under certain conditions. In contrast, a recognition model (a competitive learning neural network algorithm) reliably and accurately learns representations of elementary image features without such constraints"
13,"The main finding of this work is that the standard image classification
pipeline, which consists of dictionary learning, feature encoding, spatial
pyramid pooling and linear classification, outperforms all state-of-the-art
face recognition methods on the tested benchmark datasets (we have tested on
AR, Extended Yale B, the challenging FERET, and LFW-a datasets). This
surprising and prominent result suggests that those advances in generic image
classification can be directly applied to improve face recognition systems. In
other words, face recognition may not need to be viewed as a separate object
classification problem.
  While recently a large body of residual based face recognition methods focus
on developing complex dictionary learning algorithms, in this work we show that
a dictionary of randomly extracted patches (even from non-face images) can
achieve very promising results using the image classification pipeline. That
means, the choice of dictionary learning methods may not be important. Instead,
we find that learning multiple dictionaries using different low-level image
features often improve the final classification accuracy. Our proposed face
recognition approach offers the best reported results on the widely-used face
recognition benchmark datasets. In particular, on the challenging FERET and
LFW-a datasets, we improve the best reported accuracies in the literature by
about 20% and 30% respectively.Comment: 10 page"
14,"Face sketch synthesis has wide applications ranging from digital
entertainments to law enforcements. Objective image quality assessment scores
and face recognition accuracy are two mainly used tools to evaluate the
synthesis performance. In this paper, we proposed a synthesized face sketch
recognition framework based on full-reference image quality assessment metrics.
Synthesized sketches generated from four state-of-the-art methods are utilized
to test the performance of the proposed recognition framework. For the image
quality assessment metrics, we employed the classical structured similarity
index metric and other three prevalent metrics: visual information fidelity,
feature similarity index metric and gradient magnitude similarity deviation.
Extensive experiments compared with baseline methods illustrate the
effectiveness of the proposed synthesized face sketch recognition framework.
Data and implementation code in this paper are available online at
www.ihitworld.com/WNN/IQA_Sketch.zip"
15,"The Low-Power Image Recognition Challenge (LPIRC,
https://rebootingcomputing.ieee.org/lpirc) is an annual competition started in
2015. The competition identifies the best technologies that can classify and
detect objects in images efficiently (short execution time and low energy
consumption) and accurately (high precision). Over the four years, the winners'
scores have improved more than 24 times. As computer vision is widely used in
many battery-powered systems (such as drones and mobile phones), the need for
low-power computer vision will become increasingly important. This paper
summarizes LPIRC 2018 by describing the three different tracks and the winners'
solutions.Comment: 13 pages, workshop in 2018 CVPR, competition, low-power, image
  recognitio"
16,"Optical Character Recognition deals in recognition and classification of
characters from an image. For the recognition to be accurate, certain
topological and geometrical properties are calculated, based on which a
character is classified and recognized. Also, the Human psychology perceives
characters by its overall shape and features such as strokes, curves,
protrusions, enclosures etc. These properties, also called Features are
extracted from the image by means of spatial pixel-based calculation. A
collection of such features, called Vectors, help in defining a character
uniquely, by means of an Artificial Neural Network that uses these Feature
Vectors.Comment: Signal & Image Processing : An International Journal (SIPIJ) Vol.3,
  No.5, October 201"
17,"Face image quality is an important factor in facial recognition systems as
its verification and recognition accuracy is highly dependent on the quality of
image presented. Rejecting low quality images can significantly increase the
accuracy of any facial recognition system. In this project, a simple approach
is presented to train a deep convolutional neural network to perform end-to-end
face image quality assessment. The work is done in 2 stages : First, generation
of quality score label and secondly, training a deep convolutional neural
network in a supervised manner to predict quality score between 0 and 1. The
generation of quality labels is done by comparing the face image with a
template of best quality images and then evaluating the normalized score based
on the similarity.Comment: Course project repor"
