,entry_id,updated,published,title,authors,summary,comment,journal_ref,doi,primary_category,categories,links,pdf_url
0,http://arxiv.org/abs/2208.11695v1,2022-08-24 17:55:48+00:00,2022-08-24 17:55:48+00:00,Bugs in the Data: How ImageNet Misrepresents Biodiversity,"[arxiv.Result.Author('Alexandra Sasha Luccioni'), arxiv.Result.Author('David Rolnick')]","ImageNet-1k is a dataset often used for benchmarking machine learning (ML)
models and evaluating tasks such as image recognition and object detection.
Wild animals make up 27% of ImageNet-1k but, unlike classes representing people
and objects, these data have not been closely scrutinized. In the current
paper, we analyze the 13,450 images from 269 classes that represent wild
animals in the ImageNet-1k validation set, with the participation of expert
ecologists. We find that many of the classes are ill-defined or overlapping,
and that 12% of the images are incorrectly labeled, with some classes having
>90% of images incorrect. We also find that both the wildlife-related labels
and images included in ImageNet-1k present significant geographical and
cultural biases, as well as ambiguities such as artificial animals, multiple
species in the same image, or the presence of humans. Our findings highlight
serious issues with the extensive use of this dataset for evaluating ML
systems, the use of such algorithms in wildlife-related tasks, and more broadly
the ways in which ML datasets are commonly created and curated.",,,,cs.CV,"['cs.CV', 'cs.CY', 'cs.LG']","[arxiv.Result.Link('http://arxiv.org/abs/2208.11695v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/2208.11695v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/2208.11695v1
1,http://arxiv.org/abs/2208.11687v1,2022-08-24 17:48:12+00:00,2022-08-24 17:48:12+00:00,"ForestEyes Project: Conception, Enhancements, and Challenges","[arxiv.Result.Author('Fernanda B. J. R. Dallaqua'), arxiv.Result.Author('Álvaro Luiz Fazenda'), arxiv.Result.Author('Fabio A. Faria')]","Rainforests play an important role in the global ecosystem. However,
significant regions of them are facing deforestation and degradation due to
several reasons. Diverse government and private initiatives were created to
monitor and alert for deforestation increases from remote sensing images, using
different ways to deal with the notable amount of generated data. Citizen
Science projects can also be used to reach the same goal. Citizen Science
consists of scientific research involving nonprofessional volunteers for
analyzing, collecting data, and using their computational resources to outcome
advancements in science and to increase the public's understanding of problems
in specific knowledge areas such as astronomy, chemistry, mathematics, and
physics. In this sense, this work presents a Citizen Science project called
ForestEyes, which uses volunteer's answers through the analysis and
classification of remote sensing images to monitor deforestation regions in
rainforests. To evaluate the quality of those answers, different
campaigns/workflows were launched using remote sensing images from Brazilian
Legal Amazon and their results were compared to an official groundtruth from
the Amazon Deforestation Monitoring Project PRODES. In this work, the first two
workflows that enclose the State of Rond\^onia in the years 2013 and 2016
received more than $35,000$ answers from $383$ volunteers in the $2,050$
created tasks in only two and a half weeks after their launch. For the other
four workflows, even enclosing the same area (Rond\^onia) and different setups
(e.g., image segmentation method, image resolution, and detection target), they
received $51,035$ volunteers' answers gathered from $281$ volunteers in $3,358$
tasks. In the performed experiments...","30 pages, Published at Elsevier Future Generation Computer System
  (FGCS), Volume 124, November 2021, Pages 422-435",,,cs.CV,['cs.CV'],"[arxiv.Result.Link('http://arxiv.org/abs/2208.11687v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/2208.11687v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/2208.11687v1
2,http://arxiv.org/abs/2208.11673v1,2022-08-24 17:12:00+00:00,2022-08-24 17:12:00+00:00,Learned Lossless JPEG Transcoding via Joint Lossy and Residual Compression,"[arxiv.Result.Author('Xiaoshuai Fan'), arxiv.Result.Author('Xin Li'), arxiv.Result.Author('Zhibo Chen')]","As a commonly-used image compression format, JPEG has been broadly applied in
the transmission and storage of images. To further reduce the compression cost
while maintaining the quality of JPEG images, lossless transcoding technology
has been proposed to recompress the compressed JPEG image in the DCT domain.
Previous works, on the other hand, typically reduce the redundancy of DCT
coefficients and optimize the probability prediction of entropy coding in a
hand-crafted manner that lacks generalization ability and flexibility. To
tackle the above challenge, we propose the learned lossless JPEG transcoding
framework via Joint Lossy and Residual Compression. Instead of directly
optimizing the entropy estimation, we focus on the redundancy that exists in
the DCT coefficients. To the best of our knowledge, we are the first to utilize
the learned end-to-end lossy transform coding to reduce the redundancy of DCT
coefficients in a compact representational domain. We also introduce residual
compression for lossless transcoding, which adaptively learns the distribution
of residual DCT coefficients before compressing them using context-based
entropy coding. Our proposed transcoding architecture shows significant
superiority in the compression of JPEG images thanks to the collaboration of
learned lossy transform coding and residual entropy coding. Extensive
experiments on multiple datasets have demonstrated that our proposed framework
can achieve about 21.49% bits saving in average based on JPEG compression,
which outperforms the typical lossless transcoding framework JPEG-XL by 3.51%.",Accepted by VCIP2022,,,cs.CV,"['cs.CV', 'cs.MM']","[arxiv.Result.Link('http://arxiv.org/abs/2208.11673v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/2208.11673v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/2208.11673v1
3,http://arxiv.org/abs/2208.11670v1,2022-08-24 17:06:10+00:00,2022-08-24 17:06:10+00:00,On a class of probabilistic cellular automata with size-$3$ neighbourhood and their applications in percolation games,"[arxiv.Result.Author('Dhruv Bhasin'), arxiv.Result.Author('Sayar Karmakar'), arxiv.Result.Author('Moumanti Podder'), arxiv.Result.Author('Souvik Roy')]","Different versions of percolation games on $\mathbb{Z}^{2}$, with parameters
$p$ and $q$ that indicate, respectively, the probability with which a site in
$\mathbb{Z}^{2}$ is labeled a trap and the probability with which it is labeled
a target, are shown to have probability $0$ of culminating in draws when $p+q >
0$. We show that, for fixed $p$ and $q$, the probability of draw in each of
these games is $0$ if and only if a certain $1$-dimensional probabilistic
cellular automaton (PCA) $F_{p,q}$ with a size-$3$ neighbourhood is ergodic.
This allows us to conclude that $F_{p,q}$ is ergodic whenever $p+q > 0$,
thereby rigorously establishing ergodicity for a considerable class of PCAs.","23 pages, last 2 pages bibliography, 6 images",,,math.PR,"['math.PR', 'math.CO', '05C57, 37B15, 37A25, 68Q80']","[arxiv.Result.Link('http://arxiv.org/abs/2208.11670v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/2208.11670v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/2208.11670v1
4,http://arxiv.org/abs/2208.11669v1,2022-08-24 17:05:47+00:00,2022-08-24 17:05:47+00:00,Towards Sparsified Federated Neuroimaging Models via Weight Pruning,"[arxiv.Result.Author('Dimitris Stripelis'), arxiv.Result.Author('Umang Gupta'), arxiv.Result.Author('Nikhil Dhinagar'), arxiv.Result.Author('Greg Ver Steeg'), arxiv.Result.Author('Paul Thompson'), arxiv.Result.Author('José Luis Ambite')]","Federated training of large deep neural networks can often be restrictive due
to the increasing costs of communicating the updates with increasing model
sizes. Various model pruning techniques have been designed in centralized
settings to reduce inference times. Combining centralized pruning techniques
with federated training seems intuitive for reducing communication costs -- by
pruning the model parameters right before the communication step. Moreover,
such a progressive model pruning approach during training can also reduce
training times/costs. To this end, we propose FedSparsify, which performs model
pruning during federated training. In our experiments in centralized and
federated settings on the brain age prediction task (estimating a person's age
from their brain MRI), we demonstrate that models can be pruned up to 95%
sparsity without affecting performance even in challenging federated learning
environments with highly heterogeneous data distributions. One surprising
benefit of model pruning is improved model privacy. We demonstrate that models
with high sparsity are less susceptible to membership inference attacks, a type
of privacy attack.","Accepted to 3rd MICCAI Workshop on Distributed, Collaborative and
  Federated Learning (DeCaF, 2022)",,,cs.LG,"['cs.LG', 'cs.CR', 'eess.IV', 'q-bio.QM']","[arxiv.Result.Link('http://arxiv.org/abs/2208.11669v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/2208.11669v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/2208.11669v1
5,http://arxiv.org/abs/2208.11667v1,2022-08-24 17:02:51+00:00,2022-08-24 17:02:51+00:00,Attacking Neural Binary Function Detection,"[arxiv.Result.Author('Joshua Bundt'), arxiv.Result.Author('Michael Davinroy'), arxiv.Result.Author('Ioannis Agadakos'), arxiv.Result.Author('Alina Oprea'), arxiv.Result.Author('William Robertson')]","Binary analyses based on deep neural networks (DNNs), or neural binary
analyses (NBAs), have become a hotly researched topic in recent years. DNNs
have been wildly successful at pushing the performance and accuracy envelopes
in the natural language and image processing domains. Thus, DNNs are highly
promising for solving binary analysis problems that are typically hard due to a
lack of complete information resulting from the lossy compilation process.
Despite this promise, it is unclear that the prevailing strategy of repurposing
embeddings and model architectures originally developed for other problem
domains is sound given the adversarial contexts under which binary analysis
often operates.
  In this paper, we empirically demonstrate that the current state of the art
in neural function boundary detection is vulnerable to both inadvertent and
deliberate adversarial attacks. We proceed from the insight that current
generation NBAs are built upon embeddings and model architectures intended to
solve syntactic problems. We devise a simple, reproducible, and scalable
black-box methodology for exploring the space of inadvertent attacks -
instruction sequences that could be emitted by common compiler toolchains and
configurations - that exploits this syntactic design focus. We then show that
these inadvertent misclassifications can be exploited by an attacker, serving
as the basis for a highly effective black-box adversarial example generation
process. We evaluate this methodology against two state-of-the-art neural
function boundary detectors: XDA and DeepDi. We conclude with an analysis of
the evaluation data and recommendations for how future research might avoid
succumbing to similar attacks.",18 pages,,,cs.CR,['cs.CR'],"[arxiv.Result.Link('http://arxiv.org/abs/2208.11667v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/2208.11667v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/2208.11667v1
6,http://arxiv.org/abs/2208.11666v1,2022-08-24 17:01:09+00:00,2022-08-24 17:01:09+00:00,Efficient Heterogeneous Video Segmentation at the Edge,"[arxiv.Result.Author('Jamie Menjay Lin'), arxiv.Result.Author('Siargey Pisarchyk'), arxiv.Result.Author('Juhyun Lee'), arxiv.Result.Author('David Tian'), arxiv.Result.Author('Tingbo Hou'), arxiv.Result.Author('Karthik Raveendran'), arxiv.Result.Author('Raman Sarokin'), arxiv.Result.Author('George Sung'), arxiv.Result.Author('Trent Tolley'), arxiv.Result.Author('Matthias Grundmann')]","We introduce an efficient video segmentation system for resource-limited edge
devices leveraging heterogeneous compute. Specifically, we design network
models by searching across multiple dimensions of specifications for the neural
architectures and operations on top of already light-weight backbones,
targeting commercially available edge inference engines. We further analyze and
optimize the heterogeneous data flows in our systems across the CPU, the GPU
and the NPU. Our approach has empirically factored well into our real-time AR
system, enabling remarkably higher accuracy with quadrupled effective
resolutions, yet at much shorter end-to-end latency, much higher frame rate,
and even lower power consumption on edge platforms.",Published as a workshop paper at CVPRW CV4ARVR 2022,,,cs.CV,"['cs.CV', 'cs.LG']","[arxiv.Result.Link('http://arxiv.org/abs/2208.11666v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/2208.11666v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/2208.11666v1
7,http://arxiv.org/abs/2208.11661v1,2022-08-24 16:55:52+00:00,2022-08-24 16:55:52+00:00,Cross-Camera View-Overlap Recognition,"[arxiv.Result.Author('Alessio Xompero'), arxiv.Result.Author('Andrea Cavallaro')]","We propose a decentralised view-overlap recognition framework that operates
across freely moving cameras without the need of a reference 3D map. Each
camera independently extracts, aggregates into a hierarchical structure, and
shares feature-point descriptors over time. A view overlap is recognised by
view-matching and geometric validation to discard wrongly matched views. The
proposed framework is generic and can be used with different descriptors. We
conduct the experiments on publicly available sequences as well as new
sequences we collected with hand-held cameras. We show that Oriented FAST and
Rotated BRIEF (ORB) features with Bags of Binary Words within the proposed
framework lead to higher precision and a higher or similar accuracy compared to
NetVLAD, RootSIFT, and SuperGlue.","17 pages, 5 figures, 2 tables. Accepted to International Workshop on
  Distributed Smart Cameras (IWDSC) at the 2022 European Conference on Computer
  Vision (ECCV2022)",,,cs.CV,['cs.CV'],"[arxiv.Result.Link('http://arxiv.org/abs/2208.11661v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/2208.11661v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/2208.11661v1
8,http://arxiv.org/abs/2208.11658v1,2022-08-24 16:54:38+00:00,2022-08-24 16:54:38+00:00,AGO-Net: Association-Guided 3D Point Cloud Object Detection Network,"[arxiv.Result.Author('Liang Du'), arxiv.Result.Author('Xiaoqing Ye'), arxiv.Result.Author('Xiao Tan'), arxiv.Result.Author('Edward Johns'), arxiv.Result.Author('Bo Chen'), arxiv.Result.Author('Errui Ding'), arxiv.Result.Author('Xiangyang Xue'), arxiv.Result.Author('Jianfeng Feng')]","The human brain can effortlessly recognize and localize objects, whereas
current 3D object detection methods based on LiDAR point clouds still report
inferior performance for detecting occluded and distant objects: the point
cloud appearance varies greatly due to occlusion, and has inherent variance in
point densities along the distance to sensors. Therefore, designing feature
representations robust to such point clouds is critical. Inspired by human
associative recognition, we propose a novel 3D detection framework that
associates intact features for objects via domain adaptation. We bridge the gap
between the perceptual domain, where features are derived from real scenes with
sub-optimal representations, and the conceptual domain, where features are
extracted from augmented scenes that consist of non-occlusion objects with rich
detailed information. A feasible method is investigated to construct conceptual
scenes without external datasets. We further introduce an attention-based
re-weighting module that adaptively strengthens the feature adaptation of more
informative regions. The network's feature enhancement ability is exploited
without introducing extra cost during inference, which is plug-and-play in
various 3D detection frameworks. We achieve new state-of-the-art performance on
the KITTI 3D detection benchmark in both accuracy and speed. Experiments on
nuScenes and Waymo datasets also validate the versatility of our method.",12 pages,,,cs.CV,"['cs.CV', 'cs.AI']","[arxiv.Result.Link('http://arxiv.org/abs/2208.11658v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/2208.11658v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/2208.11658v1
9,http://arxiv.org/abs/2208.11650v1,2022-08-24 16:40:27+00:00,2022-08-24 16:40:27+00:00,Lane Change Classification and Prediction with Action Recognition Networks,"[arxiv.Result.Author('Kai Liang'), arxiv.Result.Author('Jun Wang'), arxiv.Result.Author('Abhir Bhalerao')]","Anticipating lane change intentions of surrounding vehicles is crucial for
efficient and safe driving decision making in an autonomous driving system.
Previous works often adopt physical variables such as driving speed,
acceleration and so forth for lane change classification. However, physical
variables do not contain semantic information. Although 3D CNNs have been
developing rapidly, the number of methods utilising action recognition models
and appearance feature for lane change recognition is low, and they all require
additional information to pre-process data. In this work, we propose an
end-to-end framework including two action recognition methods for lane change
recognition, using video data collected by cameras. Our method achieves the
best lane change classification results using only the RGB video data of the
PREVENTION dataset. Class activation maps demonstrate that action recognition
models can efficiently extract lane change motions. A method to better extract
motion clues is also proposed in this paper.",Accept by ECCV AVVISION Workshop,,,cs.CV,['cs.CV'],"[arxiv.Result.Link('http://arxiv.org/abs/2208.11650v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/2208.11650v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/2208.11650v1
