,documents,assigned_topic,timestamp
0,"The limited capacity to recognize faces under occlusions is a long-standing
problem that presents a unique challenge for face recognition systems and even
for humans. The problem regarding occlusion is less covered by research when
compared to other challenges such as pose variation, different expressions,
etc. Nevertheless, occluded face recognition is imperative to exploit the full
potential of face recognition for real-world applications. In this paper, we
restrict the scope to occluded face recognition. First, we explore what the
occlusion problem is and what inherent difficulties can arise. As a part of
this review, we introduce face detection under occlusion, a preliminary step in
face recognition. Second, we present how existing face recognition methods cope
with the occlusion problem and classify them into three categories, which are
1) occlusion robust feature extraction approaches, 2) occlusion aware face
recognition approaches, and 3) occlusion recovery based face recognition
approaches. Furthermore, we analyze the motivations, innovations, pros and
cons, and the performance of representative approaches for comparison. Finally,
future challenges and method trends of occluded face recognition are thoroughly
discussed.",11,2020-06-19 20:44:02
1,"Working with Child Sexual Exploitation Material (CSEM) in forensic
applications might be benefited from the progress in automatic face
recognition. However, discriminative parts of a face in CSEM, i.e., mostly the
eyes, could be often occluded to difficult the victim's identification. Most of
the face recognition approaches cannot deal with such kind of occlusions,
resulting in inaccurate face recognition results. This document presents a
short review face recognition methods for images with natural and eye occlude
faces. The purpose is to select the best baseline approach for solving
automatic face recognition of occluded faces.",8,2021-08-26 14:37:29
2,"Face Recognition has proven to be one of the most successful technology and
has impacted heterogeneous domains. Deep learning has proven to be the most
successful at computer vision tasks because of its convolution-based
architecture. Since the advent of deep learning, face recognition technology
has had a substantial increase in its accuracy. In this paper, some of the most
impactful face recognition systems were surveyed. Firstly, the paper gives an
overview of a general face recognition system. Secondly, the survey covers
various network architectures and training losses that have had a substantial
impact. Finally, the paper talks about various databases that are used to
evaluate the capabilities of a face recognition system.",8,2022-01-09 11:47:29
3,"Face recognition has become an essential task in our lives. However, the
current COVID-19 pandemic has led to the widespread use of face masks. The
effect of wearing face masks is currently an understudied issue. The aim of
this paper is to analyze face detection, face landmarking, and face recognition
performance with masked face images. HOG and CNN face detectors are used for
face detection in combination with 5-point and 68-point face landmark
predictors and VGG16 face recognition model is used for face recognition on
masked and unmasked images. We found that the performance of face detection,
face landmarking, and face recognition is negatively impacted by face masks",8,2022-06-03 15:16:58
4,"In a world where security issues have been gaining growing importance, face
recognition systems have attracted increasing attention in multiple application
areas, ranging from forensics and surveillance to commerce and entertainment.
To help understanding the landscape and abstraction levels relevant for face
recognition systems, face recognition taxonomies allow a deeper dissection and
comparison of the existing solutions. This paper proposes a new, more
encompassing and richer multi-level face recognition taxonomy, facilitating the
organization and categorization of available and emerging face recognition
solutions; this taxonomy may also guide researchers in the development of more
efficient face recognition solutions. The proposed multi-level taxonomy
considers levels related to the face structure, feature support and feature
extraction approach. Following the proposed taxonomy, a comprehensive survey of
representative face recognition solutions is presented. The paper concludes
with a discussion on current algorithmic and application related challenges
which may define future research directions for face recognition.",8,2019-01-03 13:47:53
5,"Face recognition technology has advanced rapidly and has been widely used in
various applications. Due to the extremely huge amount of data of face images
and the large computing resources required correspondingly in large-scale face
recognition tasks, there is a requirement for a face image compression approach
that is highly suitable for face recognition tasks. In this paper, we propose a
deep convolutional autoencoder compression network for face recognition tasks.
In the compression process, deep features are extracted from the original image
by the convolutional neural networks to produce a compact representation of the
original image, which is then encoded and saved by existing codec such as PNG.
This compact representation is utilized by the reconstruction network to
generate a reconstructed image of the original one. In order to improve the
face recognition accuracy when the compression framework is used in a face
recognition system, we combine this compression framework with a existing face
recognition network for joint optimization. We test the proposed scheme and
find that after joint training, the Labeled Faces in the Wild (LFW) dataset
compressed by our compression framework has higher face verification accuracy
than that compressed by JPEG2000, and is much higher than that compressed by
JPEG.",8,2019-07-03 02:44:29
6,"With the advent of 2-dimensional Convolution Neural Networks (2D CNNs), the
face recognition accuracy has reached above 99%. However, face recognition is
still a challenge in real world conditions. A video, instead of an image, as an
input can be more useful to solve the challenges of face recognition in real
world conditions. This is because a video provides more features than an image.
However, 2D CNNs cannot take advantage of the temporal features present in the
video. We therefore, propose a framework called $Sf_{3}CNN$ for face
recognition in videos. The $Sf_{3}CNN$ framework uses 3-dimensional Residual
Network (3D Resnet) and A-Softmax loss for face recognition in videos. The use
of 3D ResNet helps to capture both spatial and temporal features into one
compact feature map. However, the 3D CNN features must be highly discriminative
for efficient face recognition. The use of A-Softmax loss helps to extract
highly discriminative features from the video for face recognition. $Sf_{3}CNN$
framework gives an increased accuracy of 99.10% on CVBL video database in
comparison to the previous 97% on the same database using 3D ResNets.",11,2021-02-02 09:47:31
7,"Face recognition technology has been widely adopted in many mission-critical
scenarios like means of human identification, controlled admission, and mobile
device access, etc. Security surveillance is a typical scenario of face
recognition technology. Because the low-resolution feature of surveillance
video and images makes it difficult for high-resolution face recognition
algorithms to extract effective feature information, Algorithms applied to
high-resolution face recognition are difficult to migrate directly to
low-resolution situations. As face recognition in security surveillance becomes
more important in the era of dense urbanization, it is essential to develop
algorithms that are able to provide satisfactory performance in processing the
video frames generated by low-resolution surveillance cameras. This paper study
on the Correlation Features-based Face Recognition (CoFFaR) method which using
for homogeneous low-resolution surveillance videos, the theory, experimental
details, and experimental results are elaborated in detail. The experimental
results validate the effectiveness of the correlation features method that
improves the accuracy of homogeneous face recognition in surveillance security
scenarios.",8,2021-11-25 17:11:52
8,"This report concerns the use of techniques for sparse signal representation
and sparse error correction for automatic face recognition. Much of the recent
interest in these techniques comes from the paper ""Robust Face Recognition via
Sparse Representation"" by Wright et al. (2009), which showed how, under certain
technical conditions, one could cast the face recognition problem as one of
seeking a sparse representation of a given input face image in terms of a
""dictionary"" of training images and images of individual pixels. In this
report, we have attempted to clarify some frequently encountered questions
about this work and particularly, on the validity of using sparse
representation techniques for face recognition.",11,2011-11-03 23:50:36
9,"Impact due to demographic factors such as age, sex, race, etc., has been
studied extensively in automated face recognition systems. However, the impact
of \textit{digitally modified} demographic and facial attributes on face
recognition is relatively under-explored. In this work, we study the effect of
attribute manipulations induced via generative adversarial networks (GANs) on
face recognition performance. We conduct experiments on the CelebA dataset by
intentionally modifying thirteen attributes using AttGAN and STGAN and
evaluating their impact on two deep learning-based face verification methods,
ArcFace and VGGFace. Our findings indicate that some attribute manipulations
involving eyeglasses and digital alteration of sex cues can significantly
impair face recognition by up to 73% and need further analysis.",8,2022-09-07 05:26:25
